artist,title,date,eventUrl,artists,venue_name,area_name,country_name,image,location,latitude,longitude
&ME,&ME en Medellín,2025-03-08T00:00:00.000,/events/2089164,&ME,Orquideorama - Jardin Botanico,Medellin,Colombia,https://images.ra.co/779d712c81aace9206cb0a1df46c3de82b0558f4.png,"Medellin, Colombia",6.269732449999999,-75.60255965090315
&ME,&ME (Keine Musik) India Tour 2025,2025-03-22T00:00:00.000,/events/2077900,&ME,Mahalakshmi Race Course,Mumbai,India,https://images.ra.co/3e625c344a319e89ce142a2e33110606d6a880e9.jpg,"Mumbai, India",19.054999,72.8692035
&ME,krankbrother presents: Keinemusik,2025-06-15T00:00:00.000,/events/2039899,Adam Port | &ME | Rampa,Gunnersbury Park,London,United Kingdom,https://images.ra.co/9e458d48dcbc86b2ef35e55c78079ea364a95f90.png,"London, United Kingdom",51.5074456,-0.1277653
&ME,Keinemusik,2025-08-23T00:00:00.000,/events/2004542,Rampa | &ME | Adam Port,Tempelhof Airport,Berlin,Germany,https://images.ra.co/46d2138e1cd6b2cf64c6b2f189d1b2cac3b5a424.png,"Berlin, Germany",52.510885,13.3989367
&ME,&ME,2026-02-09T00:00:00.000,/events/2108230,&ME,TBA,San Jose,United States of America,https://images.ra.co/09ed43afad04576c91c84d6303b0dd6241e14e2a.jpg,"San Jose, United States of America",37.3361663,-121.890591
Adam Port,ADAM PORT // MUSEU DO AMANHÃ // CARNAVAL RIO DE JANEIRO,2025-03-01T00:00:00.000,/events/2089176,Adam Port | Aline Rocha,TBA - Museu do Amanhã,Rio de Janeiro,Brazil,https://images.ra.co/c2dd0196925f6adf7a735554c3ae6ed184dfb9c7.jpg,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727
Adam Port,MONKEY PROJECT PRESENTS: Adam Port ISTANBUL,2025-05-10T00:00:00.000,/events/2059599,Adam Port,Tersane Istanbul Grand Factory,Istanbul,Turkey,https://images.ra.co/2818719515c05acd6f134cc69cfd915fd9dd258e.jpg,"Istanbul, Turkey",41.006381,28.9758715
Adam Port,krankbrother presents: Keinemusik,2025-06-15T00:00:00.000,/events/2039899,Adam Port | &ME | Rampa,Gunnersbury Park,London,United Kingdom,https://images.ra.co/9e458d48dcbc86b2ef35e55c78079ea364a95f90.png,"London, United Kingdom",51.5074456,-0.1277653
Adam Port,Keinemusik,2025-08-23T00:00:00.000,/events/2004542,Rampa | &ME | Adam Port,Tempelhof Airport,Berlin,Germany,https://images.ra.co/46d2138e1cd6b2cf64c6b2f189d1b2cac3b5a424.png,"Berlin, Germany",52.510885,13.3989367
Adriatique,ADRIATIQUE PRESENTS X,2025-02-28T00:00:00.000,/events/2089173,Adriatique | Antdot | Vomee | Malive,TBA - Museu do Amanhã,Rio de Janeiro,Brazil,https://images.ra.co/b726ec2aa9553b58425fe5632320fb6acb7c6b78.png,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727
Adriatique,H A ï K U x Adriatique,2025-03-07T00:00:00.000,/events/2099272,Adriatique,Gate Club Paris,Paris,France,https://images.ra.co/d7962604788f9d7c908f7afca7250bde58f94843.png,"Paris, France",48.8588897,2.3200410217200766
Adriatique,Moving City Basel with Adriatique & Innellea,2025-03-08T00:00:00.000,/events/2020792,Adriatique | Innellea | Read the News | Sebastian Konrad | Thyora,"Eventhalle Messe, Basel",Basel,Switzerland,https://images.ra.co/0b54e0a674863be9a66fa2ba0d0cc742ed7c3299.jpg,"Basel, Switzerland",47.5581077,7.5878261
Adriatique,Zukunft CLOSING FESTIVAL: DAY 23/33,2025-03-13T00:00:00.000,/events/2080174,Adriatique | Ata | Kalabrese,Zukunft,Zurich,Switzerland,https://images.ra.co/6ea61fff53ccd271b6a359a7a7055a786cfedef1.jpg,"Zurich, Switzerland",47.3744489,8.5410422
Adriatique,Caprices Festival 2025 - Crans-Montana,2025-04-04T00:00:00.000,/events/2054584,ARODES | Ben UFO | Black Coffee | Thabo (DE) | Cassy | Cesar Merveille | Cincity | Colyn | Dan Ghenacia | East End Dubs | I Hate Models | Jamie Jones | Marco Carola | Mita Gami | Nic Fanciulli | Franky Rizardo | Ogazón | Ryan Elliott | Parfait | PERSIC | Prospa | Rolbac | Samsön | Seth Troxler | Shanti Celeste | Shimza | Sparrow & Barbossa | Vintage Culture | Adriatique | Alci | Gescu | Alex Wann | Baloo | Dr Banana | Melody RA+RE | DVS1 | Enzo Siragusa | EVGHENIIA | Fatima Hajji | Gene On Earth | Giorgio Maulini | Guti | Joseph Capriati | Luciano | Mateo Dufour | Mathew Jonson | Miguelle | TONS | Mont Rouge | Nina Kraviz | OMAKS | Paco Osuna | Philippa Pacho | Ricardo Villalobos | Raresh | Rōse (CH) | Rossi | Shlømo | Sonja Moonear | Craig Richards | Traumer,Cry d'Er – Club d'Altitude,All,Switzerland,https://images.ra.co/581d25824424f0d42ea203f434d08003c1765dd7.png,"Cry d'Er – Club d'Altitude, Switzerland",46.3304899,7.526435803722132
Adriatique,Labyrinth presents: Adriatique Open to Close,2025-04-17T00:00:00.000,/events/2102493,Adriatique,Royal Albert Hall,London,United Kingdom,https://images.ra.co/8efe5f36ca911752c0c306a5a893e42c3b5a2e26.jpg,"London, United Kingdom",51.5074456,-0.1277653
Adriatique,Ushuaïa Ibiza Opening Party 2025,2025-04-26T00:00:00.000,/events/2078667,Adriatique | Ben Böhmer | Deer Jade | Kevin de Vries | Miss Monique | Paul Kalkbrenner,Ushuaïa Ibiza,Ibiza,Spain,https://images.ra.co/b70183d74e43032768ff853f901613ef1593ffd8.jpg,"Ibiza, Spain",38.974390099999994,1.4197463178515335
Adriatique,Hangar invites Adriatique - Cinquantenaire Open Air,2025-06-07T00:00:00.000,/events/2077181,Adriatique,Parc Du Cinquantenaire,Brussels,Belgium,https://images.ra.co/a531f06b1fbbaef8c5d2a89d8705450e49f63536.jpg,"Brussels, Belgium",50.8465573,4.351697
Adriatique,Terrazzza - Horse Park Festival 2025,2025-06-27T00:00:00.000,/events/2077707,Adriatique | Andrea Oliva | Argy | ARODES | BLOND:ISH | Calussa | Chelina Manuhutu | Fleur Shore | Gordo | Olympe | Vintage Culture | Wade,Horse Park Zürich,Zurich,Switzerland,https://images.ra.co/87c6e3d6cc739b8e60b999866babb57170f55039.png,"Zurich, Switzerland",47.3744489,8.5410422
Adriatique,Audioriver Festival 2025,2025-07-11T00:00:00.000,/events/2039986,4am Kru | Adriatique | Âme | Sama' Abdulhadi | Ben Böhmer | Charlotte de Witte | DESIREE (RSA) | Dixon | Dyzen | sideral | Eli Brown | Etherwood | Funk Tribu | Gesaffelstein | HI-LO | I Hate Models | Jayda G | Jimi Jules | Jonathan Kaspar | Julya Karma | KI/KI | Massano | Miura | P Money | Whiney | Pan-Pot | Sara Landry | Skrimor | Tiesto | Unglued | VTSS | Job Jobse,Błonia Łódzkie,All,Poland,https://images.ra.co/042fd0636a48eb34715ce92e8e8da573f31606df.png,"Błonia Łódzkie, Poland",52.0169028,19.4708702
Adriatique,AWAKENINGS FESTIVAL 2025,2025-07-11T00:00:00.000,/events/1963535,6EJOU | 999999999 | Adam Beyer | Adriatique | Alan Fitzpatrick | Alex Wann | Âme | AnD | Andres Campo | Anfisa Letyago | Azyr | Bart Skils | Ben Böhmer | Ben Klock | Benwal | BLONDEX | Bullzeye | Secret Cinema | Carl Cox | Carlita | Carmen Lisa (2) | Charlotte de Witte | Chris Stussy | Cincity | Clara Cuvé | Damian Lazarus | Daria Kolosova | Delano Legito | DIØN | Dixon | Jimi Jules | DJ Gigola | DJ Nobu | DJ Rush | Eli Brown | Ellen Allien | Elli Acula | Emvae | Enrico Sangiuliano | Estella Boersma | Fatima Hajji | FJAAK | Freddy K | Funk Assault | Funk Tribu | Hot Since 82 | Prunk | Hyperaktivist | I Hate Models | Indira Paganotto | Innellea | Inox Traxx | Jamie Jones | Joseph Capriati | Joëlla Jackson | Joris Voorn | Josh Baker | Rossi | Joyhauser | Kasia (OFC) | KETTAMA | Kevin de Vries | Kobosil | LAMMER | LB aka LABAT | Len Faki | Locus Error | Lucky Done Gone | Luuk van Dijk | M-High | Marco Carola | MARRØN | Mau P | Mha iri | Milo Spykers | Mind Against | Miss Monique | Nina Kraviz | Noise Mafia | NOVAH | ØTTA | Pan-Pot | Pegassi | Popof | Space 92 | Recondite | Reinier Zonneveld | Richie Hawtin | Rødhåd | Sara Landry | Setaoc Mass | Shimza | The Lady Machine | The Martinez Brothers | TWIENA | Vera Grace | Vintage Culture | VNTM | VTSS | X CLUB. | Yulia Niko,Beekse Bergen,All,Netherlands,https://images.ra.co/93c751fdea73a6695ca2022ce132cbf80bf7d01e.png,"Beekse Bergen, Netherlands",51.52925999282132,5.126089981429852
Adriatique,Dour Festival 2025,2025-07-16T00:00:00.000,/events/2056426,Charlotte de Witte | Folamour | Brutalismus 3000 | Marlon Hoffstadt | Adriatique | Bru C | Caspa | Rusko | Skream | Benga | Nico Moreno | Azyr | Sara Landry | Pendulum | ascendant vierge | Marc Rebillet | ¥ØU$UK€ ¥UK1MAT$U | KI/KI | Danny L Harle,Dour Festival,All,Belgium,https://cdn.sanity.io/images/6epsemdp/production/b7d83a32bba8e46b37bc22edd92ed71cef47b091-1920x1280.jpg?w=640&fit=clip&auto=format,"Dour Festival, Belgium",50.3963781,3.7786762
Adriatique,Brunch Electronik Festival 2025,2025-08-07T00:00:00.000,/events/1994432,Maribou State | Pretty Girl | Adriatique | Anetha | Ben Böhmer | Chelina Manuhutu | Chloé Caillet | Chris Liebing | DJ Gigola | DJ Tennis | Helado Negro | Imbermind | Jungle (UK) | Korolova | Loco Dice | Maceo Plex | The Martinez Brothers | Nina Kraviz | Pachanga Boys | Paco Osuna | Patrick Mason | Purple Disco Machine | Sofia Kourtesis | Suze Ijó | esther bronchal | SANTANA | ValaV | Virgi Nou | Chris Stussy | Colyn | Cromby | Daria Kolosova | Deep Dish | Ela Minus | Eliza Rose | FJAAK | Flug | Ilario Alicante | Interplanetary Criminal | Joëlla Jackson | KlangKuenstler | Marco Carola | Seth Troxler | Mariano Mellino | Marlon Hoffstadt | MËSTIZA | Monolink | Myd | Roisin Murphy | Roll Dann | Sally C | Agatha Pher | Naommi | Verushka | berlioz | Folamour | MiNNA | Hanakito | Audrey Danza | miszo | ONA (SP) | Ale Hope,Parc del Fòrum,Barcelona,Spain,https://images.ra.co/f066b90c837deecf97fb5a3c56d8e3c9ff989dce.png,"Barcelona, Spain",41.3828939,2.1774322
